nlev,variant,blocking,cell_dist,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,3,0,normal_var1,omp_for,cpu_avx512,64,8,7.251012,5782.498915,9246.315217,94183.932291,41928.952707,67045.094603,0.000000,1,0.0120,1.8000,4,901120
90,3,0,sequential,omp_for,cpu_scalar,64,1,0.773611,1587.365188,2539.431215,49315.406500,1228.003779,1964.532910,0.000000,1,0.0120,1.8000,4,7372800
90,3,0,sequential,omp_collapse2,cpu_scalar,64,1,6.624976,60602.771496,68213.702682,133228.803123,401491.881600,451914.114898,0.000000,1,0.0120,1.8000,4,7372800
90,4,0,normal_var1,omp_for,cpu_scalar,64,1,0.895210,1111.291735,1776.910020,45060.156116,994.838216,1590.704581,0.000000,1,0.0120,1.8000,4,7372800
90,4,0,exact,omp_for,cpu_scalar,64,1,0.901681,17.712569,23.839534,983.317011,15.971057,21.495674,0.000000,1,0.0120,1.8000,4,11059200
90,4,0,sequential,omp_collapse2,gpu_scalar,128,1,6.312476,31133.644310,39454.680105,68398.338099,196530.369611,249056.704916,0.000000,1,0.0120,1.8000,4,7372800
90,1,0,uniform,omp_for,cpu_avx512,64,8,39.927930,256.110766,256.240482,5930.268995,10225.972653,10231.151932,0.000000,1,0.0120,1.8000,4,921600
90,1,0,exact,omp_for,gpu_warp32,128,32,20.005208,8.353563,9.067301,813.911738,167.114772,181.393238,0.000000,1,0.0120,1.8000,4,345600
90,1,0,sequential,omp_collapse2,cpu_scalar,64,1,3.124744,1837.002557,1853.369289,4140.228244,5740.162579,5791.304423,0.000000,1,0.0120,1.8000,4,7372800
90,2,0,normal_var1,omp_for,cpu_avx512,64,8,24.962012,204.437792,204.664148,4538.778822,5103.178553,5108.828868,0.000000,1,0.0120,1.8000,4,921600
90,2,0,sequential,omp_for,cpu_avx512,64,8,24.969531,204.588943,204.819283,4539.568905,5108.490016,5114.241489,0.000000,1,0.0120,1.8000,4,921600
90,2,0,normal_var1,omp_collapse2,cpu_avx512,64,8,24.962016,204.448765,206.496213,4538.793919,5103.453366,5154.561793,0.000000,1,0.0120,1.8000,4,921600
90,2,0,exact,omp_collapse2,cpu_scalar,64,1,1.802434,39.050035,39.284352,66.621167,70.385092,70.807440,0.000000,1,0.0120,1.8000,4,11059200
90,3,0,uniform,omp_collapse2,cpu_avx512,64,8,60.992969,15092.341809,16985.930856,335399.930719,920526.732368,1036022.349905,0.000000,1,0.0120,1.8000,4,921600
90,3,0,exact,omp_collapse2,cpu_scalar,64,1,6.097404,731.793558,821.829854,2191.106943,4462.041110,5011.029371,0.000000,1,0.0120,1.8000,4,11059200
90,4,0,uniform,omp_collapse2,gpu_scalar,128,1,7.312427,53453.179835,67738.932654,117509.847918,390872.462520,495335.983691,0.000000,1,0.0120,1.8000,4,7372800
90,4,0,exact,omp_collapse2,gpu_scalar,128,1,5.784904,374.019931,475.323052,1043.361135,2163.669468,2749.698356,0.000000,1,0.0120,1.8000,4,11059200
90,1,0,normal_var4,omp_for,cpu_scalar,64,1,3.267627,1759.675417,1759.730633,3981.067132,5749.962821,5750.143247,0.000000,1,0.0120,1.8000,4,7372800
90,1,0,uniform,omp_collapse2,gpu_scalar,128,1,4.497852,1023.767818,1032.884813,2272.696614,4604.755679,4645.762572,0.000000,1,0.0120,1.8000,4,7372800
90,2,0,uniform,omp_for,cpu_avx512,64,8,39.927930,255.546216,255.694813,5671.869044,10203.431364,10209.364531,0.000000,1,0.0120,1.8000,4,921600
90,2,0,exact,omp_for,gpu_scalar,128,1,1.011410,21.417252,21.455863,30.746415,21.661612,21.700664,0.000000,1,0.0120,1.8000,4,11059200
90,2,0,exact,omp_collapse2,gpu_scalar,128,1,1.011410,21.418074,21.541659,30.747246,21.662448,21.787449,0.000000,1,0.0120,1.8000,4,11059200
90,3,0,normal_var1,omp_collapse2,cpu_avx512,64,8,52.232650,8844.353603,9954.960966,196204.300087,461964.023803,519973.989258,0.000000,1,0.0120,1.8000,4,921600
90,3,0,exact,omp_collapse2,cpu_avx512,64,8,40.891547,484.886884,546.708560,5182.342522,19827.774551,22355.759337,0.000000,1,0.0120,1.8000,4,1382400
90,4,0,sequential,omp_for,cpu_avx512,64,8,6.284090,6942.091951,11104.029222,108146.746238,43624.737371,69778.666253,0.000000,1,0.0120,1.8000,4,901120
