backend,variant,nlev,N_e,N_c,N_v,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,96,0.262681
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,97,0.325962
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,98,0.263001
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,99,0.262202
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,0,0.472842
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,1,0.443403
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,2,0.445402
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,3,0.454203
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,4,0.455722
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,5,0.450963
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,6,0.450522
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,7,0.449242
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,8,0.450162
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,9,0.451163
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,10,0.450602
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,11,0.448882
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,12,0.452042
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,13,0.445123
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,14,0.440562
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,15,0.453043
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,16,0.451562
gpu,1,96,122880,81920,81920,exact,4x1_128x1,4,1,128,1,17,0.450443
