id,cv,cv_IC,ch,ch_IC,f,f_IC,s,s_IC,n,n_IN,lm,lm_IC
213,V1,h_first,V6,v_first,V2,h_first,V6,v_first,V6,AoS,V1,h_first
214,V1,h_first,V6,v_first,V2,h_first,V6,v_first,V6,AoS,V2,h_first
215,V1,h_first,V6,v_first,V2,h_first,V6,v_first,V6,AoS,V6,v_first
216,V1,h_first,V6,v_first,V6,v_first,V1,h_first,V1,SoA,V1,h_first
217,V1,h_first,V6,v_first,V6,v_first,V1,h_first,V1,SoA,V2,h_first
218,V1,h_first,V6,v_first,V6,v_first,V1,h_first,V1,SoA,V6,v_first
219,V1,h_first,V6,v_first,V6,v_first,V1,h_first,V2,AoS,V1,h_first
220,V1,h_first,V6,v_first,V6,v_first,V1,h_first,V2,AoS,V2,h_first
221,V1,h_first,V6,v_first,V6,v_first,V1,h_first,V2,AoS,V6,v_first
222,V1,h_first,V6,v_first,V6,v_first,V1,h_first,V6,AoS,V1,h_first
223,V1,h_first,V6,v_first,V6,v_first,V1,h_first,V6,AoS,V2,h_first
224,V1,h_first,V6,v_first,V6,v_first,V1,h_first,V6,AoS,V6,v_first
225,V1,h_first,V6,v_first,V6,v_first,V2,h_first,V1,SoA,V1,h_first
226,V1,h_first,V6,v_first,V6,v_first,V2,h_first,V1,SoA,V2,h_first
227,V1,h_first,V6,v_first,V6,v_first,V2,h_first,V1,SoA,V6,v_first
228,V1,h_first,V6,v_first,V6,v_first,V2,h_first,V2,AoS,V1,h_first
229,V1,h_first,V6,v_first,V6,v_first,V2,h_first,V2,AoS,V2,h_first
230,V1,h_first,V6,v_first,V6,v_first,V2,h_first,V2,AoS,V6,v_first
231,V1,h_first,V6,v_first,V6,v_first,V2,h_first,V6,AoS,V1,h_first
232,V1,h_first,V6,v_first,V6,v_first,V2,h_first,V6,AoS,V2,h_first
233,V1,h_first,V6,v_first,V6,v_first,V2,h_first,V6,AoS,V6,v_first
234,V1,h_first,V6,v_first,V6,v_first,V6,v_first,V1,SoA,V1,h_first
235,V1,h_first,V6,v_first,V6,v_first,V6,v_first,V1,SoA,V2,h_first
236,V1,h_first,V6,v_first,V6,v_first,V6,v_first,V1,SoA,V6,v_first
237,V1,h_first,V6,v_first,V6,v_first,V6,v_first,V2,AoS,V1,h_first
238,V1,h_first,V6,v_first,V6,v_first,V6,v_first,V2,AoS,V2,h_first
239,V1,h_first,V6,v_first,V6,v_first,V6,v_first,V2,AoS,V6,v_first
240,V1,h_first,V6,v_first,V6,v_first,V6,v_first,V6,AoS,V1,h_first
241,V1,h_first,V6,v_first,V6,v_first,V6,v_first,V6,AoS,V2,h_first
242,V1,h_first,V6,v_first,V6,v_first,V6,v_first,V6,AoS,V6,v_first
243,V2,h_first,V1,h_first,V1,h_first,V1,h_first,V1,SoA,V1,h_first
244,V2,h_first,V1,h_first,V1,h_first,V1,h_first,V1,SoA,V2,h_first
245,V2,h_first,V1,h_first,V1,h_first,V1,h_first,V1,SoA,V6,v_first
246,V2,h_first,V1,h_first,V1,h_first,V1,h_first,V2,AoS,V1,h_first
247,V2,h_first,V1,h_first,V1,h_first,V1,h_first,V2,AoS,V2,h_first
248,V2,h_first,V1,h_first,V1,h_first,V1,h_first,V2,AoS,V6,v_first
249,V2,h_first,V1,h_first,V1,h_first,V1,h_first,V6,AoS,V1,h_first
250,V2,h_first,V1,h_first,V1,h_first,V1,h_first,V6,AoS,V2,h_first
251,V2,h_first,V1,h_first,V1,h_first,V1,h_first,V6,AoS,V6,v_first
252,V2,h_first,V1,h_first,V1,h_first,V2,h_first,V1,SoA,V1,h_first
253,V2,h_first,V1,h_first,V1,h_first,V2,h_first,V1,SoA,V2,h_first
254,V2,h_first,V1,h_first,V1,h_first,V2,h_first,V1,SoA,V6,v_first
255,V2,h_first,V1,h_first,V1,h_first,V2,h_first,V2,AoS,V1,h_first
256,V2,h_first,V1,h_first,V1,h_first,V2,h_first,V2,AoS,V2,h_first
257,V2,h_first,V1,h_first,V1,h_first,V2,h_first,V2,AoS,V6,v_first
258,V2,h_first,V1,h_first,V1,h_first,V2,h_first,V6,AoS,V1,h_first
259,V2,h_first,V1,h_first,V1,h_first,V2,h_first,V6,AoS,V2,h_first
260,V2,h_first,V1,h_first,V1,h_first,V2,h_first,V6,AoS,V6,v_first
261,V2,h_first,V1,h_first,V1,h_first,V6,v_first,V1,SoA,V1,h_first
262,V2,h_first,V1,h_first,V1,h_first,V6,v_first,V1,SoA,V2,h_first
263,V2,h_first,V1,h_first,V1,h_first,V6,v_first,V1,SoA,V6,v_first
264,V2,h_first,V1,h_first,V1,h_first,V6,v_first,V2,AoS,V1,h_first
265,V2,h_first,V1,h_first,V1,h_first,V6,v_first,V2,AoS,V2,h_first
266,V2,h_first,V1,h_first,V1,h_first,V6,v_first,V2,AoS,V6,v_first
267,V2,h_first,V1,h_first,V1,h_first,V6,v_first,V6,AoS,V1,h_first
268,V2,h_first,V1,h_first,V1,h_first,V6,v_first,V6,AoS,V2,h_first
269,V2,h_first,V1,h_first,V1,h_first,V6,v_first,V6,AoS,V6,v_first
270,V2,h_first,V1,h_first,V2,h_first,V1,h_first,V1,SoA,V1,h_first
271,V2,h_first,V1,h_first,V2,h_first,V1,h_first,V1,SoA,V2,h_first
272,V2,h_first,V1,h_first,V2,h_first,V1,h_first,V1,SoA,V6,v_first
273,V2,h_first,V1,h_first,V2,h_first,V1,h_first,V2,AoS,V1,h_first
274,V2,h_first,V1,h_first,V2,h_first,V1,h_first,V2,AoS,V2,h_first
275,V2,h_first,V1,h_first,V2,h_first,V1,h_first,V2,AoS,V6,v_first
276,V2,h_first,V1,h_first,V2,h_first,V1,h_first,V6,AoS,V1,h_first
277,V2,h_first,V1,h_first,V2,h_first,V1,h_first,V6,AoS,V2,h_first
278,V2,h_first,V1,h_first,V2,h_first,V1,h_first,V6,AoS,V6,v_first
279,V2,h_first,V1,h_first,V2,h_first,V2,h_first,V1,SoA,V1,h_first
280,V2,h_first,V1,h_first,V2,h_first,V2,h_first,V1,SoA,V2,h_first
281,V2,h_first,V1,h_first,V2,h_first,V2,h_first,V1,SoA,V6,v_first
282,V2,h_first,V1,h_first,V2,h_first,V2,h_first,V2,AoS,V1,h_first
283,V2,h_first,V1,h_first,V2,h_first,V2,h_first,V2,AoS,V2,h_first
284,V2,h_first,V1,h_first,V2,h_first,V2,h_first,V2,AoS,V6,v_first
285,V2,h_first,V1,h_first,V2,h_first,V2,h_first,V6,AoS,V1,h_first
286,V2,h_first,V1,h_first,V2,h_first,V2,h_first,V6,AoS,V2,h_first
287,V2,h_first,V1,h_first,V2,h_first,V2,h_first,V6,AoS,V6,v_first
288,V2,h_first,V1,h_first,V2,h_first,V6,v_first,V1,SoA,V1,h_first
289,V2,h_first,V1,h_first,V2,h_first,V6,v_first,V1,SoA,V2,h_first
290,V2,h_first,V1,h_first,V2,h_first,V6,v_first,V1,SoA,V6,v_first
291,V2,h_first,V1,h_first,V2,h_first,V6,v_first,V2,AoS,V1,h_first
292,V2,h_first,V1,h_first,V2,h_first,V6,v_first,V2,AoS,V2,h_first
293,V2,h_first,V1,h_first,V2,h_first,V6,v_first,V2,AoS,V6,v_first
294,V2,h_first,V1,h_first,V2,h_first,V6,v_first,V6,AoS,V1,h_first
295,V2,h_first,V1,h_first,V2,h_first,V6,v_first,V6,AoS,V2,h_first
296,V2,h_first,V1,h_first,V2,h_first,V6,v_first,V6,AoS,V6,v_first
297,V2,h_first,V1,h_first,V6,v_first,V1,h_first,V1,SoA,V1,h_first
298,V2,h_first,V1,h_first,V6,v_first,V1,h_first,V1,SoA,V2,h_first
299,V2,h_first,V1,h_first,V6,v_first,V1,h_first,V1,SoA,V6,v_first
300,V2,h_first,V1,h_first,V6,v_first,V1,h_first,V2,AoS,V1,h_first
301,V2,h_first,V1,h_first,V6,v_first,V1,h_first,V2,AoS,V2,h_first
302,V2,h_first,V1,h_first,V6,v_first,V1,h_first,V2,AoS,V6,v_first
303,V2,h_first,V1,h_first,V6,v_first,V1,h_first,V6,AoS,V1,h_first
304,V2,h_first,V1,h_first,V6,v_first,V1,h_first,V6,AoS,V2,h_first
305,V2,h_first,V1,h_first,V6,v_first,V1,h_first,V6,AoS,V6,v_first
306,V2,h_first,V1,h_first,V6,v_first,V2,h_first,V1,SoA,V1,h_first
307,V2,h_first,V1,h_first,V6,v_first,V2,h_first,V1,SoA,V2,h_first
308,V2,h_first,V1,h_first,V6,v_first,V2,h_first,V1,SoA,V6,v_first
309,V2,h_first,V1,h_first,V6,v_first,V2,h_first,V2,AoS,V1,h_first
310,V2,h_first,V1,h_first,V6,v_first,V2,h_first,V2,AoS,V2,h_first
